instance,dimension,run,seed,beta,gamma,best_known,best_length,gap_percent,final_effective_count,final_edge_diversity,runtime_seconds
ch150,150,2,20270806,0.0,4.0,6528,6625,1.485906862745098,15.999999999743997,0.01794444444444443,0.7206422770000245
ch150,150,2,20270806,0.0,8.0,6528,6697,2.5888480392156863,15.999999999743997,0.0,0.6959057789999861
ch150,150,2,20270806,2.0,0.0,6528,6621,1.4246323529411764,15.999999999743997,0.0,0.7029902119998042
ch150,150,2,20270806,2.0,1.0,6528,6621,1.4246323529411764,15.999999999743997,0.0,0.7043357649999962
ch150,150,2,20270806,2.0,4.0,6528,6650,1.8688725490196079,12.797248023612562,0.017166666666666656,0.7523679739997533
ch150,150,2,20270806,2.0,8.0,6528,6699,2.619485294117647,15.999999999743997,0.0,0.7431461090000084
ch150,150,2,20270806,6.0,0.0,6528,6687,2.4356617647058822,15.999999999743997,0.0,0.7470102199999928
ch150,150,2,20270806,6.0,1.0,6528,6662,2.0526960784313726,15.999999999743997,0.0,0.7104257119999602
ch150,150,2,20270806,6.0,4.0,6528,6662,2.0526960784313726,15.999999999743997,0.0,0.735792446999767
ch150,150,2,20270806,6.0,8.0,6528,6662,2.0526960784313726,15.999999999743997,0.0,0.7312799159999486
ch150,150,2,20270806,12.0,0.0,6528,6687,2.4356617647058822,15.999999999743997,0.0,0.7033361179996973
ch150,150,2,20270806,12.0,1.0,6528,6687,2.4356617647058822,15.999999999743997,0.0,0.7023444149999705
ch150,150,2,20270806,12.0,4.0,6528,6687,2.4356617647058822,15.999999999743997,0.0,0.7108949029998257
ch150,150,2,20270806,12.0,8.0,6528,6687,2.4356617647058822,15.999999999743997,0.0,0.7294453119998252
ch150,150,3,20270807,0.0,0.0,6528,6666,2.113970588235294,15.999999999743997,0.012611111111111106,0.6864982899996903
ch150,150,3,20270807,0.0,1.0,6528,6645,1.7922794117647058,15.999999999743997,0.0,0.6861456409997118
ch150,150,3,20270807,0.0,4.0,6528,6645,1.7922794117647058,15.999999999743997,0.0016666666666666635,0.7048886140000832
ch150,150,3,20270807,0.0,8.0,6528,6651,1.8841911764705883,15.999999999743997,0.006999999999999987,0.7038376850000532
ch150,150,3,20270807,2.0,0.0,6528,6645,1.7922794117647058,15.999999999743997,0.0,0.699561507999988
ch150,150,3,20270807,2.0,1.0,6528,6607,1.210171568627451,11.26874885314152,0.007222222222222216,0.6977404330000354
ch150,150,3,20270807,2.0,4.0,6528,6651,1.8841911764705883,15.999999999743997,0.0,0.7064569869999104
ch150,150,3,20270807,2.0,8.0,6528,6635,1.639093137254902,11.45680177812708,0.012499999999999989,0.7256975590003094
ch150,150,3,20270807,6.0,0.0,6528,6607,1.210171568627451,2.394777746533375,0.011499999999999986,0.7185915409995687
ch150,150,3,20270807,6.0,1.0,6528,6607,1.210171568627451,2.394777746533375,0.011499999999999986,0.7177464559999862
ch150,150,3,20270807,6.0,4.0,6528,6646,1.8075980392156863,4.414881000187288,0.011666666666666655,0.6858747960000073
ch150,150,3,20270807,6.0,8.0,6528,6645,1.7922794117647058,15.999999999743997,0.0,0.7086609640000461
ch150,150,3,20270807,12.0,0.0,6528,6702,2.6654411764705883,1.0011987331337953,0.0025000000000000022,0.6876277050000681
ch150,150,3,20270807,12.0,1.0,6528,6702,2.6654411764705883,1.0011987331337953,0.0025000000000000022,0.6868030280002131
ch150,150,3,20270807,12.0,4.0,6528,6702,2.6654411764705883,1.0011987331337953,0.0025000000000000022,0.6883733829999983
ch150,150,3,20270807,12.0,8.0,6528,6715,2.8645833333333335,14.000159750073786,0.0046666666666666705,0.693265708999661
ch150,150,4,20270808,0.0,0.0,6528,6605,1.1795343137254901,15.999999999743997,0.0,0.7431587109999782
ch150,150,4,20270808,0.0,1.0,6528,6579,0.78125,15.999999999743997,0.0,0.7505162729999029
ch150,150,4,20270808,0.0,4.0,6528,6606,1.1948529411764706,15.999999999743997,0.0,0.7206931759997133
ch150,150,4,20270808,0.0,8.0,6528,6668,2.144607843137255,15.999999999743997,0.0,0.7270683090000603
ch150,150,4,20270808,2.0,0.0,6528,6585,0.8731617647058824,15.999999999743997,0.0,0.740071731000171
ch150,150,4,20270808,2.0,1.0,6528,6630,1.5625,15.999999999743997,0.0,0.7420379019999928
ch150,150,4,20270808,2.0,4.0,6528,6659,2.0067401960784315,15.999999999743997,0.0,0.7364423830003943
ch150,150,4,20270808,2.0,8.0,6528,6591,0.9650735294117647,15.999999999743997,0.0,0.7597823580003933
ch150,150,4,20270808,6.0,0.0,6528,6611,1.2714460784313726,15.999999999743997,0.0,0.6967407889997048
ch150,150,4,20270808,6.0,1.0,6528,6611,1.2714460784313726,15.999999999743997,0.0,0.6922898929997245
ch150,150,4,20270808,6.0,4.0,6528,6629,1.5471813725490196,14.899552100077011,0.011666666666666674,0.7228726710000046
ch150,150,4,20270808,6.0,8.0,6528,6604,1.1642156862745099,15.999999999743997,0.0,0.7276539509998656
