instance,dimension,algorithm,run,seed,best_known,best_length,gap_percent,final_mean_length,runtime_seconds,budget_mode
ch150,150,ABC/BCO,10,20264529,6528,7407,13.46507352941176,18208.3,,standard
ch150,150,ABC/BCO,11,20264530,6528,6982,6.954656862745098,18227.76666666666,,standard
ch150,150,ABC/BCO,12,20264531,6528,7555,15.73223039215686,18151.8,,standard
ch150,150,ABC/BCO,13,20264532,6528,7334,12.3468137254902,17973.06666666667,,standard
ch150,150,ABC/BCO,14,20264533,6528,7209,10.43198529411765,18201.36666666666,,standard
ch150,150,ABC/BCO,15,20264534,6528,7392,13.23529411764706,18087.4,,standard
ch150,150,ABC/BCO,16,20264535,6528,7542,15.53308823529412,18160.73333333333,,standard
ch150,150,ABC/BCO,17,20264536,6528,7306,11.91789215686274,17879.8,,standard
ch150,150,ABC/BCO,18,20264537,6528,7304,11.88725490196078,18262.73333333333,,standard
ch150,150,ABC/BCO,19,20264538,6528,7307,11.93321078431373,18039.83333333333,,standard
ch150,150,ABC/BCO,20,20264539,6528,7341,12.45404411764706,18322.13333333333,,standard
ch150,150,ABC/BCO,21,20264540,6528,7401,13.37316176470588,18402.46666666667,,standard
ch150,150,ABC/BCO,22,20264541,6528,7324,12.19362745098039,18208.53333333333,,standard
ch150,150,ABC/BCO,23,20264542,6528,7189,10.12561274509804,18284.86666666666,,standard
ch150,150,ABC/BCO,24,20264543,6528,7161,9.696691176470589,18217.3,,standard
ch150,150,ABC/BCO,25,20264544,6528,7456,14.2156862745098,17986.7,,standard
ch150,150,ABC/BCO,26,20264545,6528,7500,14.88970588235294,18070.9,,standard
ch150,150,ABC/BCO,27,20264546,6528,7420,13.66421568627451,18115.36666666666,,standard
ch150,150,ABC/BCO,28,20264547,6528,7007,7.337622549019608,18002.36666666666,,standard
ch150,150,ABC/BCO,29,20264548,6528,7242,10.9375,18224.83333333333,,standard
ch150,150,ABC/BCO,30,20264549,6528,7376,12.99019607843137,18544.33333333333,,standard
d493,493,SA,1,20261520,35002,78808,125.1528484086624,138311.0,,standard
